Firmware Base Address                0x037fc000

# It is possible that fields starting with 0x037fc... are actually functions
# Needs testing
vexos+displayOffsetX                 0x000153e8
vexos+displayOffsetY                 0x000153ec
vexos+critSecFlags                   0x037fcfb0
vexos+userData1                      0x037fcfc8
vexos+userData2                      0x037fcfcc
vexos+userData3                      0x037fcfd0
vexos+userData4                      0x037fcfd4
vexos+stdDataAddr                    0x037fcfa4
vexos+stdDataSize                    0x037fcfa8
vexos+stdDataPtr                     0x037fcfa0
vexos+taskMain                       0x000102d0
vexos+lastTimeSleep                  0x00015400
vexos+scratchMemoryPtrUnk            0x037fc018
vexos+impurePtr                      0x0001000c
vexos+stdlibVersion1                 0x00010008
vexos+systemVersion                  0x037fd000
vexos+systemVersion2                 0x037fd004
vexos+sdkVersion                     0x1020000
vexos+vexosVersion                   0x037fd008
vexos+cpuVersion                     0x037fd00c
vexos+date                           0x0384b11b

vexStdlibMismatchError               0x010
# Talk to James!
vexScratchMemoryPtr                  0x01c
vexPrivateApiDisable                 0x020
vexPrivateApiEnable                  0x024
vexTaskAdd                           0x028
vexTaskAddWithPriority               0x02c
vexTaskAddSimple                     0x030
vexTaskAddSimpleWithPriority         0x034
vexTaskStop                          0x038
vexTaskSuspend                       0x03c
vexTaskResume                        0x040
vexTaskSuspendCurrent                0x044
vexTaskResumeCurrent                 0x048
vexTaskProgramSuspend                0x04c
vexTaskProgramResume                 0x050
vexTaskPriorityGet                   0x054
vexTaskPrioritySet                   0x058
vexTasksRun                          0x05c
vexTaskYield                         0x060
vexTaskCheckTimeslice                0x064
vexTaskGetIndex                      0x068
vexTaskSleep                         0x06c
vexSemaphoreInit                     0x070
vexSemaphoreLock                     0x074
vexSemaphoreUnlock                   0x078
vexSemaphoreGetOwner                 0x07c
vexTasksDump                         0x080
vexTaskGetCallbackAndId              0x084
vexTaskGetCallback                   0x084
vexTaskWaitForExitWithId             0x088
vexTaskWaitForExit                   0x088
vexTaskStateGet                      0x08c
vexTaskGetTaskIndex                  0x090
vexTaskStopAll                       0x094
vexTaskStopAllUser                   0x098
vexTaskRemoveAllUser                 0x09c
vexEventBroadcastAndWait             0x0a0
vexEventBroadcast                    0x0a4
vexEventAdd                          0x0a8
vexEventUserIndexGet                 0x0ac
vexEventAddWithArg                   0x0b0
vexEventsCleanup                     0x0b4
vexEventsDump                        0x0b8
vexEventGetArg                       0x0bc
vexEventsGetMax                      0x0c0
vexEventsGetCount                    0x0c4
vexBreak                             0x0c8
vexTaskBreakpointSet                 0x0cc
vexTaskBreakpointDump                0x0d0
vex_printf                           0x0f0
vexDebug                             0x0f0
vex_sprintf                          0x0f4
vex_vsprintf                         0x0f4
vex_snprintf                         0x0f8
vexSystemTimeGet                     0x118
vexGettime                           0x11c
vexGetdate                           0x120
vex_vsnprintf                        0x124
vexSystemMemoryDump                  0x124
vexSystemDigitalIO                   0x128
vexSystemStartupOptions              0x12c
vexSystemExitRequest                 0x130
vexSystemHighResTimeGet              0x134
vexSystemPowerupTimeGet              0x138
vexSystemLinkAddrGet                 0x13c
vexTaskHardwareConcurrency           0x140
vexTaskCompletionIdSet               0x144
vexTaskStackSizeGet                  0x148
vexTaskStackDefaultSizeGet           0x14c
vexTaskStackUseGet                   0x150
vexTaskStackTopGet                   0x154
vexTaskFree                          0x158
vexTaskGetArgs                       0x15c
vexTaskSetArgs                       0x160
vexSystemTimerGet                    0x168
vexSystemTimerEnable                 0x16c
vexSystemTimerDisable                0x170
vexSystemUsbStatus                   0x174
vexDevicesGetNumber                  0x190
vexDevicesGetNumberByType            0x194
vexDevicesGet                        0x198
vexDeviceGetByIndex                  0x19c
vexDeviceGetStatus                   0x1a0
vexControllerGet                     0x1a4
vexControllerConnectionStatusGet     0x1a8
vexControllerTextSet                 0x1ac
vexDeviceGetTimestamp                0x1b0
vexDeviceButtonStateGet              0x1b4
vexDeviceTypeGetByIndex              0x1b8
vexDeviceTypeSetByIndex              0x1bc
vexDeviceValueGetByIndex             0x1c0
vexDeviceValueSetByIndex             0x1c4
vexDeviceDatarateSet                 0x1c8
vexDeviceTimerSet                    0x1cc
vexDeviceTimerSetWithArg             0x1d0
vexDeviceTimerDump                   0x1d4
vexDeviceFlagsGetByIndex             0x1d8
vexDeviceLedSet                      0x1e0
vexDeviceLedRgbSet                   0x1e4
vexDeviceLedGet                      0x1e8
vexDeviceLedRgbGet                   0x1ec
vexDeviceAdiPortConfigSet            0x208
vexDeviceAdiPortConfigGet            0x20c
vexDeviceAdiValueSet                 0x210
